UNSATURATED UNIT WT,SATURATED UNIT WT,VOID RATIO,COHESION,ANGLE OF FRICTION,HEIGHT,SLOPE ANGLE,FOS
19.4,19.75,0.597,45.8,11.5,7,45,2.231
19.29,19.58,0.624,36.9,11,7,45,1.866
19.39,19.68,0.608,38.4,12.5,7,45,1.972
19.1,19.27,0.69,28.4,10,7,45,1.5
19.2,19.55,0.63,33,9,7,45,1.644
19.3,19.74,0.61,40.1,9.5,7,45,1.94
19.3,19.74,0.61,42.2,10,7,45,2.042
19.2,19.68,0.62,35.6,9,7,45,1.749
19.2,19.74,0.61,39.7,9,7,45,1.915
19.2,19.62,0.62,34,9.5,7,45,1.702
19.3,19.74,0.61,42.9,10,7,45,2.07
19.3,19.42,0.662,29.2,16,7,45,1.724
19.02,19.07,0.715,32,6,7,26.67,1.815
19.02,19.26,0.749,25.6,6,7,26.67,1.527
19.06,19.5,0.638,29.8,8,7,26.67,1823
19.01,19.07,0.715,24.2,6,7,26.67,1.826
19.09,19.39,0.666,21.2,12.5,7,26.67,1.653
19.09,19.15,0.703,29.6,7.5,7,26.67,1.783
19.14,19.17,0.703,22.88,12,7,26.67,1.706
19.19,19.54,0.642,23.4,14,7,26.67,1.831
19.022,19.1,0.708,20.9,12.5,7,26.67,1.642
19.2,19.57,0.637,23.9,13.5,7,26.67,1.829
19.11,19.21,0.694,21.6,14,7,26.67,1.747
19.19,19.37,0.67,22.8,14.5,7,26.67,1.827
19.39,19.6,0.622,37.9,12,7,26.67,2.392
19.42,19.73,0.6,39.4,11.5,7,26.67,2.43
19.48,19.83,0.585,45.9,12,7,26.67,2.749
19.06,19.13,0.704,24.8,8,7,26.67,1.593
19.29,19.38,0.658,30.2,12,7,26.67,2.042
19.39,19.57,0.627,36.7,10.5,7,26.67,2.253
19.4,19.75,0.597,45.8,11.5,7,26.67,2.724
19.29,19.58,0.624,36.9,11,7,26.67,2.299
19.39,19.68,0.608,38.4,12.5,7,26.67,2.443
19.1,19.27,0.69,28.4,10,7,26.67,1.864
19.2,19.55,0.63,33,9,7,26.67,2.015
19.3,19.74,0.61,40.1,9.5,7,26.67,2.361
19.3,19.74,0.61,42.2,10,7,26.67,2.485
19.2,19.68,0.62,35.6,9,7,26.67,2.135
19.2,19.74,0.61,39.7,9,7,26.67,2.324
19.2,19.62,0.62,34,9.5,7,26.67,2.089
19.3,19.74,0.61,42.9,10,7,26.67,2.517
19.3,19.42,0.662,29.2,16,7,26.67,2.209
,,,,,,,
19.02,19.07,0.715,32,6,8,33.69,1.521
19.02,19.26,0.749,25.6,6,8,33.69,1.284
19.06,19.5,0.638,29.8,8,8,33.69,1.522
19.01,19.07,0.715,24.2,6,8,33.69,1.233
19.09,19.39,0.666,21.2,12.5,8,33.69,1.37
19.09,19.15,0.703,29.6,7.5,8,33.69,1.491
19.14,19.17,0.703,22.88,12,8,33.69,1.413
19.19,19.54,0.642,23.4,14,8,33.69,1.509
19.022,19.1,0.708,20.9,12.5,8,33.69,1.362
19.2,19.57,0.637,23.9,13.5,8,33.69,1.509
19.11,19.21,0.694,21.6,14,8,33.69,1.441
19.19,19.37,0.67,22.8,14.5,8,33.69,1.505
19.39,19.6,0.622,37.9,12,8,33.69,1.989
19.42,19.73,0.6,39.4,11.5,8,33.69,2.023
19.48,19.83,0.585,45.9,12,8,33.69,2.292
19.06,19.13,0.704,24.8,8,8,33.69,1.334
